YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,ALLSKY_KT,PRECTOTCORR,SZA
2019,1,3,17,0.0,12.56,53.92,99.53,3.39,-999.0,0.0,90.0
2019,1,3,18,0.0,11.64,56.15,99.55,3.45,-999.0,0.0,90.0
2019,1,3,19,0.0,10.86,58.29,99.57,3.5,-999.0,0.0,90.0
2019,1,3,20,0.0,10.23,60.41,99.59,3.53,-999.0,0.0,90.0
2019,1,3,21,0.0,9.69,62.51,99.59,3.6,-999.0,0.0,90.0
2019,1,3,22,0.0,9.03,65.34,99.57,3.52,-999.0,0.0,90.0
2019,1,3,23,0.0,8.27,68.47,99.53,3.38,-999.0,0.0,90.0
2019,1,4,0,0.0,7.64,71.18,99.55,3.26,-999.0,0.0,90.0
2019,1,4,1,0.0,6.94,74.02,99.53,3.1,-999.0,0.0,90.0
2019,1,4,2,0.0,6.45,75.71,99.48,3.09,-999.0,0.0,90.0
2019,1,4,3,0.0,6.08,76.29,99.46,3.12,-999.0,0.0,90.0
2019,1,4,4,0.0,5.77,76.9,99.44,3.16,-999.0,0.0,90.0
2019,1,4,5,0.0,5.49,77.36,99.46,3.2,-999.0,0.0,90.0
2019,1,4,6,0.0,5.26,77.75,99.5,3.2,-999.0,0.0,90.0
2019,1,4,7,58.78,7.53,66.68,99.57,3.91,0.28,0.0,81.57
2019,1,4,8,177.75,9.89,57.81,99.69,3.52,0.39,0.0,71.21
2019,1,4,9,289.1,11.66,53.16,99.74,2.31,0.44,0.0,62.11
2019,1,4,10,309.38,13.86,47.52,99.72,2.05,0.39,0.0,55.31
2019,1,4,11,356.75,17.1,35.47,99.65,2.7,0.41,0.0,51.76
2019,1,4,12,357.88,18.28,31.99,99.56,2.46,0.41,0.0,52.1
2019,1,4,13,309.2,18.41,31.86,99.5,1.92,0.4,0.0,56.29
2019,1,4,14,226.12,17.86,35.75,99.43,1.34,0.36,0.0,63.54
2019,1,4,15,125.07,16.36,46.64,99.4,1.15,0.3,0.0,72.96
2019,1,4,16,32.9,15.13,44.64,99.39,1.29,0.22,0.0,83.79
2019,1,4,17,0.0,14.3,44.67,99.41,1.16,-999.0,0.0,90.0
2019,1,4,18,0.0,13.75,46.1,99.43,1.03,-999.0,0.0,90.0
2019,1,4,19,0.0,13.32,47.02,99.49,1.18,-999.0,0.0,90.0
2019,1,4,20,0.0,12.67,49.08,99.51,1.42,-999.0,0.0,90.0
2019,1,4,21,0.0,11.37,50.75,99.51,1.87,-999.0,0.0,90.0
2019,1,4,22,0.0,10.2,52.69,99.51,2.25,-999.0,0.0,90.0
2019,1,4,23,0.0,8.95,56.88,99.48,2.7,-999.0,0.0,90.0
2019,1,5,0,0.0,8.05,60.3,99.46,3.0,-999.0,0.0,90.0
2019,1,5,1,0.0,7.46,62.61,99.44,3.12,-999.0,0.0,90.0
2019,1,5,2,0.0,6.98,64.68,99.42,3.12,-999.0,0.0,90.0
2019,1,5,3,0.0,6.53,67.02,99.38,3.05,-999.0,0.0,90.0
2019,1,5,4,0.0,6.09,69.44,99.4,3.01,-999.0,0.0,90.0
2019,1,5,5,0.0,5.66,72.27,99.44,3.0,-999.0,0.0,90.0
2019,1,5,6,0.0,5.27,75.19,99.5,2.99,-999.0,0.0,90.0
2019,1,5,7,66.6,7.47,66.96,99.57,2.59,0.32,0.0,81.6
2019,1,5,8,207.3,10.73,55.51,99.66,3.16,0.46,0.0,71.21
2019,1,5,9,364.48,13.73,48.21,99.69,2.17,0.55,0.0,62.08
2019,1,5,10,481.58,18.69,33.71,99.64,3.52,0.6,0.0,55.26
2019,1,5,11,501.5,21.24,27.36,99.53,3.47,0.57,0.0,51.66
2019,1,5,12,472.48,22.28,25.41,99.41,2.86,0.55,0.0,51.98
2019,1,5,13,417.05,22.62,24.81,99.32,2.5,0.53,0.0,56.14
2019,1,5,14,307.17,22.21,25.66,99.25,2.48,0.49,0.0,63.4
2019,1,5,15,161.35,20.32,39.57,99.22,1.75,0.39,0.0,72.81
2019,1,5,16,41.58,16.65,46.71,99.22,2.39,0.27,0.0,83.63
2019,1,5,17,0.0,14.31,48.46,99.25,2.86,-999.0,0.0,90.0
2019,1,5,18,0.0,13.19,51.42,99.3,3.12,-999.0,0.0,90.0
2019,1,5,19,0.0,12.37,53.72,99.33,3.29,-999.0,0.0,90.0
2019,1,5,20,0.0,11.85,55.37,99.34,3.31,-999.0,0.0,90.0
2019,1,5,21,0.0,11.5,56.89,99.32,3.23,-999.0,0.0,90.0
2019,1,5,22,0.0,11.07,58.51,99.28,3.15,-999.0,0.0,90.0
2019,1,5,23,0.0,10.6,60.23,99.25,3.08,-999.0,0.01,90.0
2019,1,6,0,0.0,10.27,61.81,99.23,2.97,-999.0,0.04,90.0
2019,1,6,1,0.0,9.83,63.92,99.22,2.83,-999.0,0.29,90.0
2019,1,6,2,0.0,9.31,67.66,99.19,2.66,-999.0,0.84,90.0
2019,1,6,3,0.0,8.78,71.64,99.16,2.48,-999.0,1.75,90.0
2019,1,6,4,0.0,8.4,74.81,99.17,2.27,-999.0,2.27,90.0
2019,1,6,5,0.0,8.42,76.04,99.22,2.0,-999.0,2.38,90.0
2019,1,6,6,0.0,8.42,76.95,99.28,1.77,-999.0,2.08,90.0
2019,1,6,7,39.25,9.26,75.46,99.35,1.52,0.19,1.12,81.62
2019,1,6,8,120.9,10.49,70.4,99.4,2.27,0.27,0.52,71.2
2019,1,6,9,217.73,11.83,67.3,99.46,2.32,0.33,0.19,62.05
2019,1,6,10,280.58,14.38,56.76,99.43,2.64,0.35,0.1,55.19
2019,1,6,11,272.15,17.25,43.01,99.36,3.12,0.31,0.33,51.56
2019,1,6,12,275.42,18.53,38.83,99.27,3.14,0.32,0.48,51.85
2019,1,6,13,274.52,18.87,38.21,99.21,2.94,0.35,0.47,56.0
2019,1,6,14,201.6,18.95,38.37,99.18,2.69,0.32,0.27,63.24
2019,1,6,15,107.28,17.9,47.47,99.2,1.79,0.26,1.13,72.66
2019,1,6,16,29.3,14.92,57.7,99.24,2.34,0.18,1.12,83.47
2019,1,6,17,0.0,13.08,60.43,99.31,3.06,-999.0,0.6,90.0
2019,1,6,18,0.0,12.82,62.26,99.38,3.56,-999.0,2.31,90.0
2019,1,6,19,0.0,12.5,65.93,99.45,4.3,-999.0,1.36,90.0
2019,1,6,20,0.0,11.84,70.82,99.48,4.42,-999.0,0.29,90.0
2019,1,6,21,0.0,10.88,76.93,99.47,3.96,-999.0,0.14,90.0
2019,1,6,22,0.0,9.97,82.5,99.44,3.6,-999.0,0.62,90.0
2019,1,6,23,0.0,9.36,85.94,99.43,3.36,-999.0,0.82,90.0
2019,1,7,0,0.0,8.88,88.21,99.43,3.16,-999.0,0.63,90.0
2019,1,7,1,0.0,8.49,89.56,99.41,3.07,-999.0,0.29,90.0
2019,1,7,2,0.0,8.12,90.78,99.38,3.04,-999.0,0.19,90.0
2019,1,7,3,0.0,7.73,92.0,99.35,3.01,-999.0,0.06,90.0
2019,1,7,4,0.0,7.36,93.13,99.36,3.02,-999.0,0.0,90.0
2019,1,7,5,0.0,7.03,94.52,99.42,3.04,-999.0,0.0,90.0
2019,1,7,6,0.0,6.76,96.04,99.49,3.11,-999.0,0.05,90.0
2019,1,7,7,59.05,8.51,87.43,99.56,4.08,0.29,0.23,81.64
2019,1,7,8,197.55,10.56,79.09,99.63,4.27,0.44,0.0,71.2
2019,1,7,9,340.9,13.94,65.32,99.66,3.97,0.52,0.0,62.01
2019,1,7,10,457.65,17.47,50.09,99.62,4.55,0.57,0.0,55.12
2019,1,7,11,454.3,19.56,41.95,99.53,4.21,0.52,0.0,51.45
